edge,hazard
0-8,0.17377394345044514
0-1,0.17377394345044514
1-9,0.2465969639416065
1-2,0.2465969639416065
2-10,0.34993774911115544
2-3,0.34993774911115544
3-11,0.4965853037914095
3-4,0.34993774911115544
4-12,0.4965853037914095
4-5,0.34993774911115544
5-13,0.34993774911115544
5-6,0.2465969639416065
6-14,0.2465969639416065
6-7,0.17377394345044514
7-15,0.17377394345044514
8-16,0.2465969639416065
8-9,0.2465969639416065
9-17,0.34993774911115544
9-10,0.34993774911115544
10-18,0.4965853037914095
10-11,0.4965853037914095
11-19,0.7046880897187134
11-12,0.4965853037914095
12-20,0.7046880897187134
12-13,0.4965853037914095
13-21,0.4965853037914095
13-14,0.34993774911115544
14-22,0.34993774911115544
14-15,0.2465969639416065
15-23,0.2465969639416065
16-24,0.34993774911115544
16-17,0.34993774911115544
17-25,0.4965853037914095
17-18,0.4965853037914095
18-26,0.7046880897187134
18-19,0.7046880897187134
19-27,1.0
19-20,0.7046880897187134
20-28,1.0
20-21,0.7046880897187134
21-29,0.7046880897187134
21-22,0.4965853037914095
22-30,0.4965853037914095
22-23,0.34993774911115544
23-31,0.34993774911115544
24-32,0.34993774911115544
24-25,0.4965853037914095
25-33,0.4965853037914095
25-26,0.7046880897187134
26-34,0.7046880897187134
26-27,1.0
27-35,1.0
27-28,1.0
28-36,1.0
28-29,1.0
29-37,0.7046880897187134
29-30,0.7046880897187134
30-38,0.4965853037914095
30-31,0.4965853037914095
31-39,0.34993774911115544
32-40,0.34993774911115544
32-33,0.4965853037914095
33-41,0.4965853037914095
33-34,0.7046880897187134
34-42,0.7046880897187134
34-35,1.0
35-43,1.0
35-36,1.0
36-44,0.7046880897187134
36-37,0.7046880897187134
37-45,0.4965853037914095
37-38,0.4965853037914095
38-46,0.34993774911115544
38-39,0.34993774911115544
39-47,0.2465969639416065
40-48,0.2465969639416065
40-41,0.34993774911115544
41-49,0.34993774911115544
41-42,0.4965853037914095
42-50,0.4965853037914095
42-43,0.7046880897187134
43-51,0.7046880897187134
43-44,0.7046880897187134
44-52,0.4965853037914095
44-45,0.4965853037914095
45-53,0.34993774911115544
45-46,0.34993774911115544
46-54,0.2465969639416065
46-47,0.2465969639416065
47-55,0.17377394345044514
48-56,0.17377394345044514
48-49,0.2465969639416065
49-57,0.2465969639416065
49-50,0.34993774911115544
50-58,0.34993774911115544
50-51,0.4965853037914095
51-59,0.4965853037914095
51-52,0.4965853037914095
52-60,0.34993774911115544
52-53,0.34993774911115544
53-61,0.2465969639416065
53-54,0.2465969639416065
54-62,0.17377394345044514
54-55,0.17377394345044514
55-63,0.12245642825298195
56-57,0.17377394345044514
57-58,0.2465969639416065
58-59,0.34993774911115544
59-60,0.34993774911115544
60-61,0.2465969639416065
61-62,0.17377394345044514
62-63,0.12245642825298195
